"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed"
"2619","<p> You will see the letters F or J.</p>
       <p> Respond as fast and acccurately as possible.</p>
       <p> Press any key to begin.</p>"," ","html-keyboard-response","0","2.0.0","2623"
"1004","<p>F</p>","f","html-keyboard-response","1","2.0.0","3630"
"null","","null","html-keyboard-response","2","2.0.0","3833"
"493","<p>J</p>","j","html-keyboard-response","3","2.0.0","4328"
"null","","null","html-keyboard-response","4","2.0.0","4534"
"323","<p>F</p>","f","html-keyboard-response","5","2.0.0","4859"
"null","","null","html-keyboard-response","6","2.0.0","5061"
"433","<p>J</p>","j","html-keyboard-response","7","2.0.0","5496"
"null","","null","html-keyboard-response","8","2.0.0","5705"
"406","<p>F</p>","f","html-keyboard-response","9","2.0.0","6113"
"null","","null","html-keyboard-response","10","2.0.0","6328"
"400","<p>F</p>","f","html-keyboard-response","11","2.0.0","6729"
"null","","null","html-keyboard-response","12","2.0.0","6938"
"407","<p>J</p>","j","html-keyboard-response","13","2.0.0","7346"
"null","","null","html-keyboard-response","14","2.0.0","7553"
"358","<p>F</p>","f","html-keyboard-response","15","2.0.0","7912"
"null","","null","html-keyboard-response","16","2.0.0","8122"
"367","<p>F</p>","f","html-keyboard-response","17","2.0.0","8491"
"null","","null","html-keyboard-response","18","2.0.0","8700"
"336","<p>F</p>","f","html-keyboard-response","19","2.0.0","9038"
"null","","null","html-keyboard-response","20","2.0.0","9245"
"350","<p>F</p>","f","html-keyboard-response","21","2.0.0","9597"
"null","","null","html-keyboard-response","22","2.0.0","9803"
"421","<p>J</p>","j","html-keyboard-response","23","2.0.0","10225"
"null","","null","html-keyboard-response","24","2.0.0","10430"
"416","<p>J</p>","j","html-keyboard-response","25","2.0.0","10848"
"null","","null","html-keyboard-response","26","2.0.0","11053"
"391","<p>F</p>","f","html-keyboard-response","27","2.0.0","11446"
"null","","null","html-keyboard-response","28","2.0.0","11653"
"407","<p>F</p>","f","html-keyboard-response","29","2.0.0","12061"
"null","","null","html-keyboard-response","30","2.0.0","12275"
"336","<p>F</p>","f","html-keyboard-response","31","2.0.0","12612"
"null","","null","html-keyboard-response","32","2.0.0","12817"
"367","<p>F</p>","f","html-keyboard-response","33","2.0.0","13185"
"null","","null","html-keyboard-response","34","2.0.0","13394"
"404","<p>J</p>","j","html-keyboard-response","35","2.0.0","13799"
"null","","null","html-keyboard-response","36","2.0.0","14003"
"415","<p>J</p>","j","html-keyboard-response","37","2.0.0","14420"
"null","","null","html-keyboard-response","38","2.0.0","14636"
"362","<p>F</p>","f","html-keyboard-response","39","2.0.0","15000"
"null","","null","html-keyboard-response","40","2.0.0","15212"
"357","<p>J</p>","j","html-keyboard-response","41","2.0.0","15571"
"null","","null","html-keyboard-response","42","2.0.0","15774"
"358","<p>F</p>","f","html-keyboard-response","43","2.0.0","16133"
"null","","null","html-keyboard-response","44","2.0.0","16337"
"359","<p>J</p>","j","html-keyboard-response","45","2.0.0","16697"
"null","","null","html-keyboard-response","46","2.0.0","16900"
"495","<p>J</p>","j","html-keyboard-response","47","2.0.0","17396"
"null","","null","html-keyboard-response","48","2.0.0","17606"
"334","<p>J</p>","j","html-keyboard-response","49","2.0.0","17942"
"null","","null","html-keyboard-response","50","2.0.0","18143"
"404","<p>J</p>","j","html-keyboard-response","51","2.0.0","18549"
"null","","null","html-keyboard-response","52","2.0.0","18763"
"370","<p>F</p>","f","html-keyboard-response","53","2.0.0","19135"
"null","","null","html-keyboard-response","54","2.0.0","19339"
"410","<p>F</p>","f","html-keyboard-response","55","2.0.0","19751"
"null","","null","html-keyboard-response","56","2.0.0","19956"
"429","<p>J</p>","j","html-keyboard-response","57","2.0.0","20386"
"null","","null","html-keyboard-response","58","2.0.0","20594"
"373","<p>J</p>","j","html-keyboard-response","59","2.0.0","20968"
"null","","null","html-keyboard-response","60","2.0.0","21180"
"445","<p>F</p>","f","html-keyboard-response","61","2.0.0","21626"
"null","","null","html-keyboard-response","62","2.0.0","21829"
"396","<p>F</p>","f","html-keyboard-response","63","2.0.0","22226"
"null","","null","html-keyboard-response","64","2.0.0","22429"
"453","<p>J</p>","j","html-keyboard-response","65","2.0.0","22884"
"null","","null","html-keyboard-response","66","2.0.0","23096"
"382","<p>J</p>","j","html-keyboard-response","67","2.0.0","23479"
"null","","null","html-keyboard-response","68","2.0.0","23684"
"380","<p>J</p>","j","html-keyboard-response","69","2.0.0","24065"
"null","","null","html-keyboard-response","70","2.0.0","24275"
"397","<p>J</p>","j","html-keyboard-response","71","2.0.0","24672"
"null","","null","html-keyboard-response","72","2.0.0","24881"
"539","<p>F</p>","f","html-keyboard-response","73","2.0.0","25420"
"null","","null","html-keyboard-response","74","2.0.0","25626"
"345","<p>J</p>","j","html-keyboard-response","75","2.0.0","25973"
"null","","null","html-keyboard-response","76","2.0.0","26188"
"374","<p>F</p>","f","html-keyboard-response","77","2.0.0","26563"
"null","","null","html-keyboard-response","78","2.0.0","26766"
"390","<p>J</p>","j","html-keyboard-response","79","2.0.0","27156"
"null","","null","html-keyboard-response","80","2.0.0","27372"
